Player,Pos,Squad,Min,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgR
Grischa Prömel,MF,Hoffenheim,1454,1,1,2,1,0,0,4,0,2.5,2.5,1.1,3.6,19.0,46.0
Ivan Provedel,GK,Lazio,3413,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Javi Puado,"FW,MF",Espanyol,2340,7,2,9,7,0,0,4,0,7.8,7.8,2.6,10.4,60.0,117.0
Mehdi Puch Herrantz,MF,Ajaccio,47,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3.0,1.0
Tymoteusz Puchacz,DF,Union Berlin,58,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,9.0
Arnau Puigmal,"MF,FW",Almería,763,1,0,1,1,0,0,4,0,1.1,1.1,0.5,1.7,24.0,57.0
Christian Pulisic,"FW,DF",Chelsea,821,1,1,2,1,0,0,1,0,1.7,1.7,0.7,2.3,35.0,76.0
Ignacio Pussetto,"MF,DF",Sampdoria,152,0,0,0,0,0,0,1,0,0.2,0.2,0.2,0.3,2.0,17.0
Niklas Pyyhtiä,MF,Bologna,110,0,1,1,0,0,0,0,0,0.2,0.2,0.1,0.3,2.0,5.0
Fabio Quagliarella,FW,Sampdoria,800,1,1,2,1,0,0,2,0,2.8,2.8,0.7,3.5,5.0,72.0
Giacomo Quagliata,DF,Cremonese,699,0,1,1,0,0,0,0,1,0.5,0.5,1.0,1.5,19.0,45.0
Eduardo Quaresma,DF,Hoffenheim,88,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4.0,0.0
Joshua Quarshie,MF,Hoffenheim,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Ghjuvanni Quilichini,GK,Ajaccio,82,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Domingos Quina,MF,Elche,275,0,0,0,0,0,0,3,1,0.2,0.2,0.4,0.6,12.0,7.0
Rubén Quintanilla,DF,Mallorca,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Adrien Rabiot,MF,Juventus,2748,8,4,12,8,0,0,9,0,6.2,5.8,2.3,8.2,72.0,109.0
Nemanja Radonjić,"MF,FW",Torino,1461,2,2,4,2,0,0,1,0,5.0,5.0,1.7,6.6,86.0,163.0
Ivan Radovanović,"MF,DF",Salernitana,671,0,0,0,0,0,0,1,1,0.2,0.2,0.0,0.2,2.0,2.0
Ștefan Radu,FW,Lazio,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Antonio Raillo,DF,Mallorca,2766,2,3,5,2,0,0,11,1,0.6,0.6,1.1,1.7,8.0,5.0
Antonio Raimondo,FW,Bologna,15,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.0
Predrag Rajković,GK,Mallorca,3240,0,0,0,0,0,0,3,0,0.0,0.0,0.5,0.5,0.0,0.0
Ivan Rakitić,MF,Sevilla,1788,1,3,4,0,1,2,3,1,3.3,1.7,1.9,3.7,42.0,84.0
Diant Ramaj,GK,Eint Frankfurt,90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Largie Ramazani,"FW,MF",Almería,1403,3,1,4,3,0,1,6,0,4.2,3.4,1.7,5.1,59.0,94.0
Simon Ramet,DF,Lille,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Adil Rami,DF,Troyes,1596,0,1,1,0,0,0,2,0,0.7,0.7,0.6,1.3,4.0,2.0
Chris Ramos,FW,Cádiz,710,1,0,1,1,0,0,2,0,3.0,3.0,0.2,3.2,9.0,35.0
Sergio Ramos,DF,Paris S-G,2704,2,1,3,2,0,0,3,1,1.7,1.7,0.2,1.9,15.0,10.0
Aaron Ramsdale,GK,Arsenal,3420,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Ramsey,MF,Nice,1584,1,1,2,1,0,0,3,0,2.5,2.5,1.8,4.3,29.0,84.0
Jacob Ramsey,"MF,FW",Aston Villa,2636,6,7,13,6,0,0,5,0,5.0,5.0,5.1,10.1,94.0,119.0
Luca Ranieri,DF,Fiorentina,508,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,4.0,0.0
Andrea Ranocchia,DF,Monza,47,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Filippo Ranocchia,MF,Monza,530,1,0,1,1,0,0,1,0,1.2,1.2,0.4,1.6,13.0,15.0
Lilian Raolisoa,"DF,MF",Angers,173,1,0,1,1,0,0,0,0,0.2,0.2,0.8,1.0,5.0,16.0
Raphinha,FW,Barcelona,2072,7,7,14,7,0,0,9,0,9.3,9.3,9.8,19.1,97.0,339.0
Nicolai Rapp,"MF,DF",Werder Bremen,71,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1.0,0.0
Elba Rashani,"MF,FW",Clermont Foot,2162,3,3,6,3,0,0,3,0,4.7,4.7,3.6,8.3,55.0,172.0
Marcus Rashford,FW,Manchester Utd,2879,17,5,22,17,0,0,2,0,15.4,15.4,3.4,18.8,85.0,245.0
Rafael Ratão,"FW,MF",Toulouse,1851,5,4,9,5,0,0,2,0,5.1,5.1,4.1,9.2,61.0,216.0
David Raum,"DF,MF",RB Leipzig,1685,0,2,2,0,0,0,5,0,0.6,0.6,4.6,5.2,44.0,127.0
Nicola Ravaglia,GK,Sampdoria,810,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Rayan Raveloson,"DF,MF",Auxerre,2431,2,1,3,2,0,0,0,0,2.4,2.4,0.9,3.3,36.0,61.0
David Raya,GK,Brentford,3420,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.3,0.0,0.0
Tim Ream,DF,Fulham,2897,1,0,1,1,0,0,2,0,0.3,0.3,0.1,0.4,28.0,2.0
Ante Rebić,"FW,MF",Milan,980,3,2,5,3,0,0,4,0,3.5,3.5,2.0,5.5,17.0,92.0
Arkadiusz Reca,DF,Spezia,2173,1,1,2,1,0,0,5,0,1.0,1.0,2.2,3.2,82.0,94.0
Nathan Redmond,DF,Southampton,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
Harrison Reed,MF,Fulham,2866,3,4,7,3,0,0,5,0,1.9,1.9,4.1,6.0,30.0,107.0
Sergio Reguilón,DF,Atlético Madrid,309,0,0,0,0,0,0,3,1,0.2,0.2,0.4,0.6,16.0,30.0
Bobby Reid,"FW,DF",Fulham,2475,4,1,5,4,0,0,8,0,3.9,3.9,1.7,5.6,46.0,186.0
Pepe Reina,GK,Villarreal,1980,0,0,0,0,0,0,2,0,0.0,0.0,0.7,0.7,0.0,0.0
Reinier,"MF,FW",Girona,647,2,1,3,2,0,0,1,1,1.5,1.5,0.6,2.0,13.0,27.0
Rocco Reitz,MF,M'Gladbach,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Karim Rekik,DF,Sevilla,1181,1,1,2,1,0,0,2,0,0.8,0.8,0.1,0.9,13.0,7.0
Álex Remiro,GK,Real Sociedad,3420,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Panagiotis Retsos,DF,Hellas Verona,122,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2.0,0.0
Marco Reus,"MF,FW",Dortmund,1353,6,4,10,5,1,1,4,0,5.1,4.3,2.6,6.9,33.0,78.0
Alejandro Revuelta Montero,DF,Getafe,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Elvis Rexhbeçaj,MF,Augsburg,2524,0,0,0,0,0,0,6,0,0.3,0.3,0.8,1.1,14.0,20.0
Gio Reyna,"FW,MF",Dortmund,625,7,2,9,6,1,1,2,0,4.3,3.5,1.3,4.8,23.0,57.0
Chadi Riad,MF,Barcelona,2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Nico Ribaudo,"MF,FW",Espanyol,1248,1,2,3,1,0,0,4,0,3.7,3.7,2.3,6.0,40.0,92.0
Alexsandro Ribeiro,DF,Lille,1612,3,0,3,3,0,0,4,0,1.8,1.8,0.1,1.9,9.0,7.0
Franck Ribéry,MF,Salernitana,37,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,4.0
Samuele Ricci,MF,Torino,2070,2,1,3,2,0,0,6,0,1.7,1.7,1.8,3.5,43.0,31.0
Declan Rice,MF,West Ham,3273,4,1,5,4,0,1,5,0,2.4,1.6,3.2,4.8,89.0,37.0
Chris Richards,DF,Crystal Palace,447,0,0,0,0,0,0,0,0,0.7,0.7,0.3,1.0,4.0,3.0
Richarlison,"MF,FW",Tottenham,1010,1,3,4,1,0,0,3,0,3.3,3.3,2.2,5.5,33.0,75.0
Marco Richter,"MF,FW",Hertha BSC,1836,6,5,11,6,0,0,8,0,3.7,3.7,2.9,6.6,38.0,102.0
Diego Rico,DF,Real Sociedad,1646,0,0,0,0,0,0,3,0,0.2,0.2,1.5,1.7,32.0,72.0
Jaïro Riedewald,"DF,MF",Crystal Palace,64,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1.0,1.0
Manuel Riemann,GK,Bochum,3060,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,1.0,0.0
Tomás Rincón,MF,Sampdoria,2555,0,2,2,0,0,0,7,1,0.6,0.6,1.2,1.8,27.0,35.0
Rémy Riou,GK,Lyon,601,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Renaud Ripart,"FW,MF",Troyes,1320,4,1,5,4,0,0,4,0,3.5,3.5,1.9,5.4,28.0,104.0
Rodrigo Riquelme,"MF,FW",Girona,2179,4,4,8,4,0,0,1,0,4.0,4.0,3.7,7.7,116.0,171.0
Matt Ritchie,"FW,MF",Newcastle Utd,39,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1.0,9.0
Sergi Roberto,"DF,MF",Barcelona,1308,4,1,5,4,0,0,3,0,2.4,2.4,0.9,3.3,47.0,72.0
Lucas Robertone,MF,Almería,2843,2,7,9,2,0,0,7,0,2.6,2.6,6.6,9.2,47.0,97.0
Andrew Robertson,DF,Liverpool,2583,0,8,8,0,0,0,3,0,1.3,1.3,6.1,7.4,80.0,194.0
Antonee Robinson,DF,Fulham,3088,0,1,1,0,0,0,8,0,0.1,0.1,1.3,1.4,112.0,153.0
Joel Robles,GK,Leeds United,360,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Joel Roca,"MF,FW",Girona,84,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,3.0,14.0
Marc Roca,MF,Leeds United,2315,1,2,3,1,0,0,7,0,2.1,2.1,2.9,5.0,25.0,28.0
Enzo Roco,DF,Elche,1652,0,0,0,0,0,0,7,1,0.6,0.6,0.0,0.6,6.0,2.0
Marek Rodák,GK,Fulham,180,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Sebastian Rode,MF,Eint Frankfurt,1414,4,1,5,4,0,0,6,0,0.9,0.9,0.9,1.8,23.0,39.0
Joe Rodon,DF,Rennes,1417,1,0,1,1,0,0,2,1,0.9,0.9,0.0,0.9,5.0,0.0
Rodrigo,"FW,MF",Leeds United,1935,13,1,14,12,1,1,6,0,8.1,7.3,1.8,9.1,40.0,143.0
Ángel Rodríguez,"FW,MF",Mallorca,394,1,0,1,1,0,0,1,0,2.8,2.8,0.1,2.8,4.0,19.0
Óscar Rodríguez Arnaiz,MF,Celta Vigo,1775,2,0,2,2,0,0,6,0,3.6,3.6,2.2,5.9,29.0,37.0
Dani Rodríguez,MF,Mallorca,2100,3,6,9,3,0,0,8,0,2.4,2.4,3.2,5.6,43.0,64.0
Guido Rodríguez,MF,Betis,2872,1,0,1,1,0,0,8,0,1.2,1.2,0.3,1.6,11.0,18.0
Miguel Rodríguez,"MF,FW",Celta Vigo,252,1,1,2,1,0,0,0,0,0.2,0.2,0.1,0.3,10.0,22.0
Pablo Rodríguez,"FW,MF",Lecce,54,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2.0,7.0
Ricardo Rodríguez,DF,Torino,2670,0,0,0,0,0,0,3,0,0.4,0.4,1.9,2.4,49.0,51.0
Rodrygo,"FW,MF",Real Madrid,2379,9,8,17,8,1,1,4,0,13.7,12.9,7.0,19.9,146.0,268.0
Mads Roerslev,DF,Brentford,1108,0,0,0,0,0,0,0,0,0.3,0.3,1.2,1.5,8.0,36.0
Agustín Rogel,DF,Hertha BSC,1426,0,1,1,0,0,0,7,0,0.8,0.8,0.0,0.8,1.0,2.0
Rogério,DF,Sassuolo,2996,0,3,3,0,0,0,5,1,0.5,0.5,2.7,3.3,110.0,115.0
Merlin Röhl,"MF,FW",Freiburg,57,0,1,1,0,0,0,0,0,0.0,0.0,0.5,0.5,2.0,4.0
Tony Rölke,FW,Hertha BSC,20,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Filippo Romagna,DF,Sassuolo,46,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0
Alessio Romagnoli,DF,Lazio,2922,2,0,2,2,0,0,6,0,1.4,1.4,0.1,1.6,3.0,3.0
Simone Romagnoli,DF,Lecce,167,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Leonardo Román,GK,Mallorca,90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Cristian Romero,DF,Tottenham,2364,0,1,1,0,0,0,11,1,1.5,1.5,1.2,2.6,19.0,9.0
Iván Romero,MF,Sevilla,11,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Luka Romero,FW,Lazio,151,1,0,1,1,0,0,0,0,0.9,0.9,0.1,0.9,4.0,21.0
Cristiano Ronaldo,FW,Manchester Utd,525,1,0,1,1,0,0,2,0,1.9,1.9,0.4,2.3,9.0,33.0
Connor Ronan,MF,Wolves,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0
Salomón Rondón,FW,Everton,109,0,0,0,0,0,0,0,0,0.8,0.8,0.2,1.0,0.0,7.0
Valentin Rongier,MF,Marseille,3032,1,2,3,1,0,0,8,0,1.7,1.7,2.7,4.4,57.0,72.0
Marten de Roon,MF,Atalanta,2964,3,1,4,3,0,0,7,0,1.1,1.1,1.8,2.9,18.0,23.0
Pablo Rosario,"MF,DF",Nice,1767,0,1,1,0,0,0,6,0,0.9,0.9,1.8,2.7,18.0,42.0
Francesco Rossi,GK,Atalanta,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Tom Rothe,DF,Dortmund,26,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0.0,2.0
Joe Rothwell,MF,Bournemouth,1016,0,1,1,0,0,0,1,0,0.2,0.2,1.0,1.2,12.0,12.0
Anthony Rouault,DF,Toulouse,3314,2,1,3,2,0,0,4,1,3.3,3.3,0.8,4.1,10.0,6.0
Amir Rrahmani,DF,Napoli,2448,2,1,3,2,0,0,2,0,1.8,1.8,1.0,2.9,23.0,5.0
Ruan,DF,Sassuolo,1711,0,0,0,0,0,0,13,3,0.5,0.5,0.0,0.5,6.0,3.0
Rubén,"DF,MF",Espanyol,888,0,2,2,0,0,0,1,0,0.5,0.5,1.5,2.0,34.0,57.0
Antonio Rüdiger,DF,Real Madrid,2415,1,0,1,1,0,0,1,0,1.8,1.8,0.1,1.9,21.0,10.0
Sebastian Rudy,MF,Hoffenheim,794,0,1,1,0,0,0,3,0,0.2,0.2,0.8,0.9,7.0,7.0
Daniele Rugani,DF,Juventus,564,0,0,0,0,0,0,0,0,0.5,0.5,0.0,0.5,2.0,0.0
Matteo Ruggeri,"DF,MF",Atalanta,829,0,1,1,0,0,0,3,0,0.6,0.6,0.9,1.5,22.0,65.0
Mário Rui,DF,Napoli,1749,0,6,6,0,0,0,2,1,0.6,0.6,4.0,4.6,52.0,97.0
Aitor Ruibal,"DF,FW",Betis,1454,0,0,0,0,0,0,4,1,0.8,0.8,2.1,3.0,38.0,70.0
Kays Ruiz,MF,Auxerre,62,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1.0,2.0
Fabián Ruiz Peña,MF,Paris S-G,1892,3,2,5,3,0,0,0,0,2.8,2.8,2.1,4.9,32.0,86.0
Víctor Ruiz,DF,Betis,560,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.3,4.0,0.0
Gerónimo Rulli,GK,Villarreal,1260,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Alessandro Russo,GK,Sassuolo,90,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Franco Russo,DF,Mallorca,145,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Frederik Rønnow,GK,Union Berlin,2610,0,1,1,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0
José Sá,GK,Wolves,3240,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0
Youssouf Sabaly,DF,Betis,1680,1,1,2,1,0,0,2,0,0.5,0.5,0.7,1.2,41.0,64.0
Halid Šabanović,DF,Angers,638,2,0,2,2,0,0,1,1,0.9,0.9,0.0,1.0,5.0,30.0
Abdelhamid Sabiri,"MF,FW",Sampdoria,1069,2,0,2,1,1,2,5,0,3.0,1.4,1.4,2.8,7.0,54.0
Falaye Sacko,DF,Montpellier,2580,1,3,4,1,0,0,3,0,0.8,0.8,1.1,1.9,50.0,70.0
Alexis Saelemaekers,"FW,DF",Milan,1403,2,3,5,2,0,0,1,0,2.5,2.5,4.1,6.6,52.0,143.0
Wesley Saïd,"FW,MF",Lens,644,5,0,5,5,0,0,2,0,3.3,3.3,0.9,4.2,19.0,67.0
Allan Saint-Maximin,FW,Newcastle Utd,1120,1,5,6,1,0,0,1,0,1.6,1.6,4.6,6.2,93.0,111.0
Théo Sainte-Luce,DF,Montpellier,534,1,1,2,1,0,0,0,0,0.4,0.4,0.7,1.2,5.0,36.0
Samuel Sáiz,MF,Girona,240,2,0,2,0,2,2,1,0,1.7,0.1,0.2,0.4,5.0,18.0
Bukayo Saka,FW,Arsenal,3181,14,11,25,12,2,3,6,0,11.2,9.1,8.5,17.6,179.0,520.0
Hamza Sakhi,MF,Auxerre,1658,1,2,3,1,0,0,1,0,1.7,1.7,3.2,4.9,43.0,75.0
Mamadou Sakho,DF,Montpellier,763,1,0,1,1,0,0,2,0,0.5,0.5,0.2,0.7,0.0,2.0
Jacopo Sala,MF,Spezia,112,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2.0,3.0
Ibrahim Salah,"FW,MF",Rennes,227,0,0,0,0,0,0,0,0,0.3,0.3,0.3,0.6,13.0,27.0
Mohamed Salah,FW,Liverpool,3290,19,12,31,17,2,4,2,0,21.7,18.5,7.7,26.2,120.0,421.0
Amine Salama,"FW,MF",Angers,1249,3,1,4,3,0,0,1,0,3.0,3.0,1.5,4.5,35.0,94.0
Kike Salas,DF,Sevilla,368,1,1,2,1,0,0,1,1,0.2,0.2,0.2,0.4,3.0,0.0
William Saliba,DF,Arsenal,2415,2,1,3,2,0,0,4,0,0.9,0.9,1.2,2.1,13.0,2.0
Dikeni-Rafid Salifou,MF,Werder Bremen,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Mohammed Salisu,DF,Southampton,1973,0,1,1,0,0,0,5,0,1.5,1.5,0.6,2.1,5.0,4.0
Roland Sallai,"MF,FW",Freiburg,1002,1,3,4,1,0,0,6,0,2.6,2.6,1.3,3.9,22.0,71.0
Yoann Salmier,DF,Troyes,2646,1,0,1,1,0,0,5,1,1.2,1.2,0.4,1.6,24.0,9.0
Salvi,"FW,MF",Rayo Vallecano,490,0,0,0,0,0,0,2,0,0.8,0.8,0.7,1.4,27.0,51.0
Lazar Samardzic,MF,Udinese,1848,5,4,9,5,0,0,1,0,2.4,2.4,3.7,6.1,34.0,65.0
Diadie Samassékou,"MF,FW",Hoffenheim,34,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,1.0
Mama Samba Baldé,FW,Troyes,2665,12,3,15,10,2,2,6,2,10.6,9.1,2.1,11.2,51.0,179.0
Brice Samba,GK,Lens,3330,0,0,0,0,0,0,3,0,0.0,0.0,0.1,0.1,0.0,0.0
Junior Sambia,DF,Salernitana,697,0,1,1,0,0,0,3,0,0.6,0.6,1.6,2.2,23.0,38.0
Fede San Emeterio,MF,Cádiz,1844,0,1,1,0,0,0,14,0,0.3,0.3,0.8,1.1,1.0,11.0
Antonio Sanabria,FW,Torino,2433,12,4,16,11,1,1,4,0,9.3,8.5,3.0,11.5,17.0,139.0
Leandro Sanca,"FW,MF",Spezia,32,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,3.0
Oihan Sancet,MF,Athletic Club,2532,10,2,12,8,2,2,6,1,7.6,6.0,4.2,10.2,91.0,156.0
Renato Sanches,MF,Paris S-G,717,2,0,2,2,0,0,1,0,1.1,1.1,1.7,2.8,30.0,25.0
Alexis Sánchez,"FW,MF",Marseille,2679,14,3,17,12,2,3,3,0,12.6,10.2,5.8,16.0,42.0,232.0
Antonio Sánchez,"MF,DF",Mallorca,1076,0,0,0,0,0,0,5,0,0.6,0.6,0.8,1.4,22.0,56.0
Davinson Sánchez,DF,Tottenham,858,0,0,0,0,0,0,1,0,0.6,0.6,0.4,1.0,5.0,4.0
Iván Sánchez,"MF,FW",Valladolid,1154,1,1,2,1,0,0,0,0,0.8,0.8,1.6,2.4,58.0,61.0
Javi Sánchez,DF,Valladolid,2392,1,0,1,1,0,0,11,0,0.7,0.7,0.1,0.8,21.0,5.0
Manu Sánchez,DF,Osasuna,2124,0,2,2,0,0,0,3,0,0.8,0.8,2.1,2.8,42.0,105.0
Robert Sánchez,GK,Brighton,2070,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,0.0
Jadon Sancho,"FW,MF",Manchester Utd,1686,6,3,9,6,0,0,0,0,4.2,4.2,5.0,9.2,88.0,173.0
Alex Sandro,DF,Juventus,1787,0,1,1,0,0,0,5,1,0.2,0.2,0.9,1.1,51.0,25.0
Leroy Sané,"MF,FW",Bayern Munich,2010,8,7,15,8,0,0,4,0,8.5,8.5,4.3,12.8,77.0,198.0
Sidi Sané,FW,Schalke 04,25,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Nicola Sansone,FW,Bologna,740,4,2,6,4,0,0,2,0,2.8,2.8,1.0,3.7,17.0,72.0
Baptiste Santamaria,MF,Rennes,1813,2,0,2,2,0,0,2,0,1.1,1.1,0.7,1.8,17.0,21.0
Riccardo Saponara,FW,Fiorentina,1208,4,3,7,4,0,0,4,0,2.8,2.8,3.4,6.2,56.0,125.0
Jeremy Sarmiento,MF,Brighton,176,0,1,1,0,0,0,1,0,0.3,0.3,0.2,0.5,5.0,20.0
Amin Sarr,FW,Lyon,537,1,1,2,1,0,0,0,0,1.2,1.2,0.4,1.6,12.0,47.0
Bouna Sarr,FW,Bayern Munich,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Malang Sarr,DF,Monaco,716,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,5.0,2.0
Mamadou Sarr,MF,Lyon,8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Mouhamadou Sarr,GK,Cremonese,180,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Martin Satriano,FW,Empoli,1705,2,1,3,2,0,0,4,0,3.9,3.9,1.2,5.1,29.0,127.0
Téji Savanier,MF,Montpellier,2546,12,4,16,6,6,6,4,3,8.6,3.8,5.8,9.6,48.0,117.0
Esteban Saveljich,FW,Rayo Vallecano,1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Stefan Savić,DF,Atlético Madrid,1943,0,0,0,0,0,0,4,2,0.2,0.2,0.0,0.2,20.0,6.0
Joe Scally,DF,M'Gladbach,2208,0,0,0,0,0,0,2,0,0.5,0.5,1.8,2.3,29.0,60.0
Giorgio Scalvini,DF,Atalanta,2335,2,2,4,2,0,0,7,0,2.0,2.0,0.4,2.4,22.0,34.0
Gianluca Scamacca,FW,West Ham,926,3,0,3,3,0,0,3,0,2.5,2.5,0.7,3.1,13.0,48.0
Gustavo Scarpa,"MF,FW",Nott'ham Forest,181,0,0,0,0,0,0,1,0,0.3,0.3,0.0,0.3,9.0,4.0
András Schäfer,MF,Union Berlin,860,0,0,0,0,0,0,0,0,0.4,0.4,0.2,0.6,15.0,18.0
Fabian Schär,DF,Newcastle Utd,3206,1,3,4,1,0,0,7,0,4.9,4.9,3.3,8.2,27.0,32.0
Derry Scherhant,"FW,MF",Hertha BSC,285,1,0,1,1,0,0,0,0,0.2,0.2,0.1,0.3,4.0,16.0
Patrik Schick,FW,Leverkusen,941,3,1,4,3,0,0,0,0,4.6,4.6,0.6,5.1,8.0,68.0
Kingsley Schindler,"DF,MF",Köln,1088,0,1,1,0,0,0,4,0,2.2,2.2,0.7,2.9,20.0,75.0
Xaver Schlager,MF,RB Leipzig,1506,1,1,2,1,0,0,2,0,0.3,0.3,0.7,0.9,23.0,12.0
Nico Schlotterbeck,DF,Dortmund,2252,4,5,9,4,0,0,3,0,1.6,1.6,1.7,3.3,39.0,14.0
Jeffrey Schlupp,"MF,FW",Crystal Palace,2531,3,1,4,3,0,0,7,0,3.2,3.2,1.4,4.6,32.0,67.0
Kasper Schmeichel,GK,Nice,3240,0,0,0,0,0,0,0,0,0.0,0.0,0.4,0.4,0.0,0.0
Jonathan Schmid,DF,Freiburg,41,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,1.0,6.0
Romano Schmid,"MF,FW",Werder Bremen,1520,1,3,4,1,0,0,3,0,1.5,1.5,2.0,3.5,34.0,84.0
Kenneth Schmidt,DF,Freiburg,251,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,5.0,0.0
Niklas Schmidt,MF,Werder Bremen,1087,3,0,3,3,0,0,3,0,1.6,1.6,1.3,2.9,26.0,49.0
Benno Schmitz,DF,Köln,2420,1,0,1,1,0,0,6,0,0.4,0.4,2.4,2.9,48.0,126.0
Jerdy Schouten,MF,Bologna,2509,0,2,2,0,0,0,3,0,0.4,0.4,1.5,1.9,15.0,29.0
Perr Schuurs,DF,Torino,2326,0,2,2,0,0,0,5,0,0.9,0.9,0.9,1.8,14.0,2.0
Marvin Schwäbe,GK,Köln,3060,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0
Alexander Schwolow,GK,Schalke 04,2035,0,0,0,0,0,0,1,0,0.1,0.1,0.1,0.2,0.0,0.0
Manuel Sebastián,MF,Sevilla,149,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0.0,1.0
Demba Seck,"MF,FW",Torino,519,0,0,0,0,0,0,0,0,0.6,0.6,0.6,1.2,29.0,42.0
Haris Seferović,FW,Celta Vigo,887,3,1,4,3,0,0,3,0,1.8,1.8,0.5,2.3,12.0,44.0
Telasco Segovia,MF,Sampdoria,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Jacopo Segre,DF,Torino,21,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Paul Seguin,MF,Union Berlin,691,1,3,4,1,0,0,4,0,1.2,1.2,2.0,3.2,13.0,28.0
Alidu Seidu,DF,Clermont Foot,2458,0,0,0,0,0,0,10,1,0.1,0.1,0.5,0.7,27.0,35.0
