Player,Pos,Squad,Min,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgR
Jules Koundé,DF,Barcelona,2426,1,3,4,1,0,0,2,0,1.1,1.1,2.8,3.9,58.0,61.0
Boubakar Kouyaté,DF,Montpellier,1256,0,0,0,0,0,0,5,0,0.7,0.7,0.1,0.8,3.0,1.0
Cheikhou Kouyaté,MF,Nott'ham Forest,882,1,0,1,1,0,0,3,0,0.4,0.4,0.7,1.1,6.0,14.0
Mateo Kovačić,MF,Chelsea,1707,1,2,3,1,0,0,8,0,1.8,1.8,2.1,3.9,37.0,30.0
Viktor Kovalenko,MF,Spezia,548,0,0,0,0,0,0,1,0,1.6,1.6,0.6,2.2,4.0,28.0
Soichiro Kozuki,"FW,MF",Schalke 04,379,1,0,1,1,0,0,1,0,1.1,1.1,0.3,1.4,15.0,37.0
Emil Krafth,DF,Newcastle Utd,1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Král,MF,Schalke 04,2357,0,0,0,0,0,0,3,0,1.5,1.5,0.7,2.2,41.0,70.0
Andrej Kramarić,"MF,FW",Hoffenheim,2386,12,4,16,8,4,6,3,0,13.2,8.5,2.2,10.7,49.0,191.0
Christoph Kramer,MF,M'Gladbach,2222,0,0,0,0,0,0,4,0,0.4,0.4,2.0,2.4,26.0,60.0
Tom Krauß,MF,Schalke 04,2514,2,0,2,2,0,0,8,0,2.2,2.2,0.9,3.1,35.0,38.0
Rasmus Kristensen,DF,Leeds United,1960,3,1,4,3,0,0,4,0,0.8,0.8,1.0,1.9,15.0,70.0
Julian Kristoffersen,FW,Salernitana,18,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,2.0
Raimonds Krollis,"FW,DF",Spezia,36,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,1.0,4.0
Toni Kroos,MF,Real Madrid,2155,2,4,6,2,0,0,2,1,1.4,1.4,4.4,5.9,51.0,38.0
Rade Krunić,MF,Milan,1657,0,1,1,0,0,0,8,0,1.1,1.1,1.1,2.2,31.0,21.0
Max Kruse,"MF,FW",Wolfsburg,272,0,0,0,0,0,0,0,0,0.7,0.7,0.1,0.9,4.0,30.0
Lukas Kübler,DF,Freiburg,1639,2,1,3,2,0,0,1,0,0.9,0.9,0.4,1.3,11.0,50.0
Takefusa Kubo,"FW,MF",Real Sociedad,2439,9,4,13,9,0,0,3,0,5.9,5.9,6.0,11.9,117.0,239.0
Dejan Kulusevski,"MF,FW",Tottenham,2067,2,7,9,2,0,0,2,0,2.5,2.5,4.6,7.2,87.0,195.0
Sael Kumbedi,DF,Lyon,1320,0,2,2,0,0,0,8,0,0.4,0.4,1.2,1.7,16.0,84.0
