Player,Fls,Fld,Recov,aerWon,aerLost
Claudio Bravo,0,0,14,3,0
Fabian Bredlow,1,0,29,0,0
James Bree,1,0,17,9,4
Josip Brekalo,3,5,13,0,6
Josip Brekalo,2,3,14,0,2
Gleison Bremer,29,11,180,79,50
Armando Broja,2,6,15,9,21
Dylan Bronn,29,10,109,34,23
David Brooks,3,1,4,2,3
John Brooks,21,14,106,64,30
Moritz Broschinski,3,1,16,8,11
Marcelo Brozović,24,13,141,6,12
Cédric Brunner,33,38,136,37,40
Lewis Brunt,0,1,1,0,0
Jacob Bruun Larsen,1,1,7,3,5
Andreas Bruus,11,7,76,3,16
Joe Bryan,4,3,16,0,5
Lee Buchanan,6,6,42,8,7
Ante Budimir,48,23,37,97,104
Emi Buendía,43,44,138,23,54
Hugo Bueno,7,7,90,10,17
Santiago Bueno,37,34,144,74,41
Adam Buksa,5,1,2,1,5
Marius Bülter,26,50,134,43,56
Cristian Buonaiuto,17,23,65,6,22
Facundo Buonanotte,9,7,25,2,4
Alessandro Buongiorno,64,38,167,99,52
Delano Burgzorg,4,4,4,1,11
Jonathan Burkardt,6,11,13,8,15
Oliver Burke,3,4,7,6,11
Dan Burn,35,4,166,84,37
Maxime Busi,19,6,74,14,16
Sergio Busquets,31,40,187,53,59
Aurélio Buta,31,17,66,21,35
Leonardo Buta,0,0,0,0,0
Marcin Bułka,0,0,3,0,0
Jamie Bynoe-Gittens,9,18,23,9,10
Rémy Cabella,25,44,137,9,15
Jimmy Cabot,14,0,50,3,3
Arthur Cabral,26,18,39,49,49
Leandro Cabrera,29,20,138,62,37
Liberato Cacace,9,4,38,7,21
Anthony Caci,19,9,154,20,32
Cafú,0,0,1,0,0
Moisés Caicedo,65,54,248,37,20
Tom Cairney,8,22,76,8,10
Jens Cajuste,33,29,101,13,17
Cala,1,5,3,3,4
Davide Calabria,16,15,122,13,12
Mattia Caldara,16,10,93,35,24
Luca Caldirola,30,26,95,34,32
Fernando Calero,22,9,86,35,29
Duje Ćaleta-Car,9,1,54,19,13
Duje Ćaleta-Car,0,0,0,1,0
Hakan Çalhanoğlu,46,26,193,14,15
Kerim Calhanoglu,3,1,3,1,2
Daniel Caligiuri,5,4,33,5,5
Alexander Callens,3,1,9,0,1
Dominic Calvert-Lewin,22,14,28,66,72
Mahdi Camara,23,32,114,19,24
Mohamed Camara,15,7,59,15,8
Mohamed Camara,45,58,195,14,11
Ousmane Camara,2,0,2,0,3
Ousmane Camara,5,2,36,10,4
Eduardo Camavinga,39,69,136,22,11
Nicolò Cambiaghi,25,60,64,3,15
Andrea Cambiaso,26,30,154,3,24
Axel Camblan,4,1,5,7,3
Sergio Camello,12,19,63,27,49
Chem Campbell,0,1,4,2,1
Emre Can,30,26,167,31,15
Sergio Canales,9,32,121,13,24
Matteo Cancellieri,14,10,14,4,3
João Cancelo,13,18,80,27,11
João Cancelo,10,15,84,16,12
Antonio Candreva,7,35,135,2,5
Thomas Cannon,0,2,0,0,2
Sergi Canós,3,3,6,0,1
Ander Capa,4,0,10,4,0
Pierrick Capelle,32,6,107,13,24
Étienne Capoue,18,41,113,25,19
Gianluca Caprari,34,50,101,6,21
Francesco Caputo,5,24,18,6,21
Francesco Caputo,13,22,36,17,29
Maxence Caqueret,45,31,215,16,21
Andrea Carboni,1,1,8,0,3
Franco Carboni,2,0,7,1,1
Valentin Carboni,0,3,6,0,4
Isaac Carcelen,16,27,135,21,32
Irvin Cardona,5,2,7,3,5
Irvin Cardona,2,5,9,3,8
Igor Carioca,7,5,33,4,3
Diego Carlos,2,0,14,6,3
Juan Carlos,0,0,16,1,0
José Carlos Lazo,1,1,1,0,0
José Carlos Lazo,2,5,9,0,3
Carmona,19,7,44,6,11
Carmona,14,6,34,3,8
Marco Carnesecchi,0,5,29,5,2
Yannick Carrasco,24,21,134,5,9
Dani Carvajal,22,15,109,10,9
Fabio Carvalho,6,6,19,4,10
Matis Carvalho,0,0,0,1,1
William Carvalho,29,40,159,32,27
Nicolò Casale,22,7,142,45,27
Casemiro,48,24,205,56,30
Casemiro,1,0,1,0,0
Matty Cash,21,15,108,12,13
Tommaso Cassandro,1,0,0,0,0
Timothy Castagne,25,15,202,55,62
Michele Castagnetti,16,12,99,9,14
Koen Casteels,0,3,63,4,1
Valentín Castellanos,43,46,56,51,70
Jean-Charles Castelletto,28,18,175,77,42
Samu Castillejo,32,40,66,7,19
Jonny Castro,13,19,91,15,16
Gaetano Castrovilli,12,12,36,4,11
Danilo Cataldi,12,20,159,1,5
Catena,32,15,181,80,37
Yoann Cathline,11,28,62,2,8
Maximiliano Caufriez,29,35,142,20,15
Edinson Cavani,18,8,37,20,28
Dani Ceballos,17,41,132,4,8
Pietro Ceccaroni,0,0,3,0,0
Federico Ceccherini,31,19,102,30,17
Assan Ceesay,36,27,51,63,80
Emil Ceide,4,7,18,1,3
Zeki Çelik,26,6,96,11,13
Álex Centelles,7,5,66,7,17
Fabien Centonze,14,21,108,33,19
Michele Cerofolini,0,0,4,0,0
Franco Cervi,27,42,145,12,25
Julian Chabot,29,20,124,90,46
Florian Chabrolle,2,1,22,1,3
El Chadaille Bitshiabu,4,0,41,6,4
Fares Chaïbi,34,21,109,30,50
Nathaniel Chalobah,2,0,0,1,2
Trevoh Chalobah,11,8,86,31,32
Muhammed Cham,17,40,106,6,13
Calum Chambers,7,2,23,3,6
Timothy Chandler,0,0,5,1,0
Gaëtan Charbonnier,3,1,6,3,7
Brendan Chardonnet,39,26,149,92,42
Shea Charles,0,0,1,2,0
Xavier Chavalerin,31,12,139,16,13
Pep Chavarría,11,4,27,8,3
Ivane Chegra,3,3,12,2,2
Pape Cheikh Diop,3,0,3,0,1
Rayan Cherki,16,32,94,2,9
Ilyes Cheti,4,1,18,0,0
Lucas Chevalier,0,5,55,2,0
Fabio Chiarodia,0,0,1,1,1
Federico Chiesa,13,12,41,1,5
Ben Chilwell,13,23,68,25,20
Vlad Chiricheș,16,8,67,18,22
Pedro Chirivella,20,18,126,9,8
Joris Chotard,33,18,188,12,20
Andreas Christensen,18,7,107,42,19
Oliver Christensen,0,7,51,6,3
Ryan Christie,36,45,132,16,23
Carney Chukwuemeka,2,5,22,1,6
Samuel Chukwueze,19,34,110,14,20
Darko Churlinov,0,1,0,0,1
Víctor Chust,11,4,46,16,17
Tolga Ciğerci,13,3,71,10,11
Yanis Cimignani,5,2,12,0,12
Daniel Ciofani,9,15,28,35,67
Tio Cipot,1,2,8,1,2
Pathé Ciss,38,13,101,34,28
Souleymane Cissé,2,1,3,1,0
Patrick Ciurria,32,41,138,12,13
Bobby Clark,1,0,0,0,0
Alexis Claude-Maurice,0,2,1,2,0
Alexis Claude-Maurice,7,16,25,4,2
Jonathan Clauss,25,12,180,10,17
Carlos Clerc,32,31,151,20,22
Nathaniel Clyne,10,8,81,6,18
Conor Coady,11,13,92,25,24
Nicolò Cocetta,0,0,3,0,0
Marcus Coco,19,11,50,17,33
Alexandre Coeff,3,1,29,6,7
