Player,SCA,gcaPassLive,gcaTO,gcaSh,gcaFld,gcaDef
Kenji-Van Boto,2,0,0,1,0,0
Kouamé Botué,8,4,0,1,3,0
Badredine Bouanani,45,28,8,3,2,1
Hicham Boudaoui,54,46,4,1,1,2
Franci Bouebari,1,1,0,0,0,0
Sofiane Boufal,52,38,4,1,6,0
Yassine Bounou,2,2,0,0,0,0
Ismaëlben Boura,2,1,1,0,0,0
Mehdi Bourabia,80,59,6,4,1,3
Benjamin Bourigeaud,166,102,4,9,1,1
Edoardo Bove,17,15,0,0,1,1
Jarrod Bowen,108,58,10,13,10,2
Lucas Boyé,75,51,12,5,5,2
Jayden Braaf,10,6,3,1,0,0
Domagoj Bradarić,42,34,1,3,1,1
Bilal Brahimi,32,25,3,0,2,0
Martin Braithwaite,48,31,2,9,6,0
Juan Brandáriz,11,9,1,0,1,0
Julian Brandt,133,87,6,2,5,1
Darko Brašanac,22,20,0,1,1,0
Lilian Brassier,29,23,0,2,1,1
Claudio Bravo,3,1,0,0,0,0
Fabian Bredlow,1,1,0,0,0,0
James Bree,6,6,0,0,0,0
Josip Brekalo,16,10,2,1,2,1
Josip Brekalo,7,3,0,1,0,0
Gleison Bremer,27,21,0,5,0,1
Armando Broja,4,2,0,0,2,0
Dylan Bronn,14,12,0,2,0,0
David Brooks,8,5,1,1,1,0
John Brooks,3,2,0,1,0,0
Moritz Broschinski,7,7,0,0,0,0
Marcelo Brozović,58,42,1,7,0,0
Cédric Brunner,37,22,0,3,4,0
Lewis Brunt,0,0,0,0,0,0
Jacob Bruun Larsen,12,11,1,0,0,0
Andreas Bruus,32,26,3,0,0,1
Joe Bryan,1,1,0,0,0,0
Lee Buchanan,7,7,0,0,0,0
Ante Budimir,34,21,6,3,3,1
Emi Buendía,90,72,8,3,4,1
Hugo Bueno,30,22,0,1,0,0
Santiago Bueno,24,18,1,3,2,0
Adam Buksa,1,1,0,0,0,0
Marius Bülter,91,62,8,9,10,1
