Player,Weekly Wages
Joshua Kimmich,322616.0
Serge Gnabry,312193.0
Leon Goretzka,297800.0
Kingsley Coman,281255.0
Matthijs de Ligt,264711.0
Alphonso Davies,186125.0
Marco Reus,181989.0
Christopher Nkunku,165444.0
Timo Werner,165444.0
Mats Hummels,165444.0
Dayot Upamecano,165444.0
Emre Can,145591.0
Noussair Mazraoui,132355.0
Matthias Ginter,124910.0
David Raum,124910.0
Julian Brandt,115811.0
Emil Forsberg,109193.0
Patrik Schick,99267.0
Maximilian Arnold,90994.0
Lukas Klostermann,86031.0
Karim Adeyemi,82722.0
Benjamin Pavard,82722.0
Jamal Musiala,82722.0
Nico Schlotterbeck,78090.0
Dominick Drexler,74615.0
Donyell Malen,74450.0
Dani Olmo,69487.0
Dominik Szoboszlai,69487.0
Willi Orban,69487.0
Xaver Schlager,66178.0
Julian Weigl,65516.0
Simon Terodde,63365.0
Benjamin Henrichs,62869.0
Yannick Gerhardt,59560.0
Christoph Kramer,57906.0
Kevin Kampl,57906.0
Eric Maxim Choupo-Moting,57906.0
Marius Wolf,54597.0
Jonas Hector,54597.0
John Brooks,52942.0
Marcus Thuram,52942.0
Kerem Demirbay,52942.0
Sardar Azmoun,52942.0
Ozan Kabak,52115.0
Suat Serdar,51784.0
Marcel Halstenberg,49633.0
Lars Stindl,47979.0
Josuha Guilavogui,47648.0
Mergim Berisha,46821.0
Mattias Svanberg,46821.0
Dan-Axel Zagadou,46821.0
Jonathan Tah,46821.0
Nadiem Amiri,46821.0
Lucas Tousart,43016.0
Kingsley Schindler,42519.0
Dodi Lukebakio,41361.0
Jonas Hofmann,41361.0
Konrad Laimer,41361.0
Florian Wirtz,41361.0
Marvin Ducksch,40865.0
Anthony Jung,37390.0
Edmond Tapsoba,37390.0
Moussa Diaby,37390.0
Sebastian Rode,34743.0
Djibril Sow,34247.0
Jonas Wind,33751.0
Moanes Dabbur,33089.0
Daichi Kamada,33089.0
Patrick Wimmer,32758.0
Mitchell Weiser,32758.0
Edimilson Fernandes,32758.0
Ramy Bensebaini,31434.0
Ko Itakura,31269.0
Sebastiaan Bornauw,30276.0
Robert Skov,29780.0
Stefan Bell,29780.0
Marvin Friedrich,28953.0
Jordan Pefok,28787.0
Ihlas Bebou,28126.0
Mohamed Simakan,28126.0
Ellyes Skhiri,28126.0
Maya Yoshida,28126.0
Exequiel Palacios,28126.0
Anthony Caci,27795.0
Rodrigo Zalazar,27464.0
Odilon Kossonou,26967.0
Mitchel Bakker,26637.0
Carlos Gruezo,26471.0
Florian Neuhaus,26471.0
Nico Elvedi,26471.0
Leonardo Bittencourt,26471.0
Jude Bellingham,26471.0
Robert Andrich,26471.0
Jeffrey Gouweleeuw,24817.0
Marvin Plattenhardt,24817.0
Robin Knoche,24817.0
Randal Kolo Muani,24817.0
Niklas Stark,23824.0
Jeremie Frimpong,21839.0
Silvan Widmer,21508.0
Jonjoe Kenny,19853.0
Florian Kainz,19853.0
Obite N'Dicka,19853.0
Dominik Kohr,19688.0
Hiroki Ito,19026.0
Stanley N'Soki,18861.0
Michael Gregoritsch,18861.0
Amine Adli,18861.0
Marc-Oliver Kempf,17868.0
Janik Haberer,17868.0
Ivan Ordets,17206.0
Wilfried Kanga,16875.0
Arne Maier,16544.0
Iago,16544.0
Amadou Haidara,16544.0
Dennis Geiger,16379.0
Dejan Ljubicic,16048.0
Danny da Costa,15883.0
Vincenzo Grifo,15717.0
