Player,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Att,Succ,Carries,CPA,Rec,PrgR
Leon Bailey,813,16,91,283,456,89,111,40,520,38,561,182
Eric Bailly,357,40,159,181,20,10,4,2,218,0,182,4
Dénys Bain,70,15,42,28,0,0,1,1,48,0,44,0
Brandon Baiye,42,5,10,24,8,1,1,1,27,0,24,0
Stefan Bajcetic,324,6,66,189,74,5,16,7,175,0,204,1
Nedim Bajrami,457,1,66,185,219,27,31,11,267,10,304,47
Nedim Bajrami,451,8,63,150,247,29,32,18,278,12,295,96
Cédric Bakambu,33,0,6,15,12,3,2,0,22,1,20,4
Tiemoué Bakayoko,30,3,16,12,2,0,3,1,16,0,15,1
Mitchel Bakker,1139,32,331,570,250,29,39,11,575,8,702,65
Ridle Baku,1889,80,521,880,498,45,61,23,1052,8,1155,157
Tommaso Baldanzi,841,11,109,408,334,46,60,23,548,14,600,94
Alejandro Balde,1939,40,419,874,672,78,96,50,1270,35,1348,234
Thierno Balde,1138,85,395,425,339,34,67,36,765,11,650,118
Carlos Baleba,384,10,49,256,83,5,28,15,302,2,284,12
Mikel Balenziaga,77,2,14,39,25,0,1,1,29,0,41,6
Leonardo Balerdi,1997,223,869,1027,113,16,14,9,1413,0,1232,19
Dominic Ballard,11,0,2,4,5,0,2,0,6,0,7,1
Iván Balliu,2116,88,503,925,695,26,31,11,1021,4,1150,147
Fodé Ballo-Touré,352,7,77,168,110,9,15,5,152,0,188,31
Folarin Balogun,970,16,72,385,525,198,87,35,742,45,743,283
Abdoulaye Bamba,832,52,317,442,81,2,9,4,598,0,541,19
Jonathan Bamba,1803,22,170,799,859,140,99,35,1438,29,1354,345
Patrick Bamford,550,19,34,257,266,83,34,11,290,13,386,96
Lameck Banda,720,13,75,266,403,74,112,48,505,38,509,160
Filippo Bandinelli,1333,66,317,658,376,29,42,15,746,7,863,89
Léo Baptistão,789,16,158,391,262,61,36,14,465,9,525,83
Shandon Baptiste,373,12,87,196,97,7,13,6,240,3,247,23
Antonín Barák,16,0,0,10,6,0,2,1,12,0,11,1
Antonín Barák,904,19,84,470,362,67,39,19,556,8,649,93
Andrea Barberis,194,6,38,126,31,2,0,0,100,1,137,0
Tommaso Barbieri,78,1,28,29,21,2,3,1,40,0,50,4
Bradley Barcola,666,10,81,243,355,108,80,40,481,30,444,156
Melvin Bard,1820,93,603,837,409,26,54,23,1191,8,1050,126
Francesco Bardi,25,23,25,0,0,0,0,0,10,0,7,0
Keidi Bare,336,15,67,207,62,5,6,2,181,1,214,11
Nicolò Barella,1892,43,303,962,656,57,70,40,1253,10,1426,162
Kike Barja,674,6,65,199,413,55,89,39,459,18,498,185
Ross Barkley,606,10,91,296,228,26,21,12,457,7,434,46
Aymen Barkok,360,12,53,156,158,16,20,9,185,4,216,28
Harvey Barnes,1143,17,128,435,600,133,91,27,734,48,900,257
Leandro Barreiro Martins,870,55,221,432,231,58,19,5,356,2,372,49
Enzo Barrenechea,138,3,36,90,13,2,1,0,79,0,93,2
Ander Barrenetxea,544,14,110,213,232,41,63,34,328,17,348,72
Mickaël Barreto,869,18,159,501,227,9,49,23,601,0,533,53
Pablo Barrios,554,12,106,314,140,12,30,15,320,3,405,27
Musa Barrow,1064,5,122,454,502,46,71,24,667,19,791,141
Federico Baschirotto,1823,238,968,771,96,36,5,3,849,0,918,12
Toma Bašić,367,12,75,179,115,17,8,3,222,1,250,29
Alberto Basso,3,0,0,0,3,1,0,0,2,0,3,2
Gil Bastião Dias,246,4,46,111,97,13,19,10,157,4,164,33
Alessandro Bastoni,1857,201,796,821,250,30,15,8,1137,3,1310,44
Simone Bastoni,749,31,183,306,273,24,20,7,341,2,401,65
Rodrigo Battaglia,310,28,114,170,27,6,3,0,136,0,164,3
Maximilian Bauer,982,135,590,362,36,13,5,2,461,0,501,2
Oliver Baumann,1503,1219,1489,15,0,0,0,0,903,0,757,0
Timo Baumgartl,372,33,160,187,26,9,0,0,212,0,227,2
Julian Baumgartlinger,292,19,93,156,44,3,4,1,143,0,151,3
Christoph Baumgartner,1340,39,204,655,505,118,116,54,767,33,900,145
Cyrille Bayala,947,27,161,431,373,45,68,25,620,14,541,109
Brian Bayeye,64,6,29,24,11,3,2,2,23,2,29,5
Noah Joel Sarenren Bazee,8,0,1,4,4,1,2,1,4,0,5,1
Gavin Bazunu,1253,910,1234,19,0,0,0,0,746,0,599,0
Bebé,52,0,1,19,36,0,8,3,37,0,34,10
Ihlas Bebou,576,22,63,235,288,69,58,26,307,15,376,116
Rodrigo Becão,1667,135,805,701,172,43,10,5,850,3,948,48
Mads Bech Sørensen,14,1,4,8,2,0,0,0,2,0,5,0
Julius Beck,8,0,2,5,1,0,0,0,5,0,6,0
Sheraldo Becker,908,7,57,263,602,117,59,26,617,45,679,240
Jan Bednarek,1127,205,635,460,37,14,2,1,579,0,605,2
Jan Bednarek,79,9,39,40,1,0,0,0,47,0,53,0
Donny van de Beek,72,1,3,23,46,11,3,2,39,0,53,20
Asmir Begović,33,31,33,0,0,0,0,0,19,0,13,0
Yanis Begraoui,29,0,7,11,11,2,2,1,22,0,21,3
Kevin Behrens,687,30,53,312,327,83,24,12,306,6,512,92
Alexis Beka Beka,387,14,82,219,93,5,17,8,295,3,262,23
Jérémie Bela,355,15,72,132,157,15,27,9,240,5,224,54
Reda Belahyane,135,3,41,92,9,1,5,5,113,1,97,1
Youcef Belaïli,631,6,66,320,257,51,64,29,476,18,431,68
